,date,location,new_cases,new_deaths,total_cases,total_deaths
2103,2020-02-23,Russia,0.0,,2,
2104,2020-02-24,Russia,0.0,,2,
2105,2020-02-25,Russia,0.0,,2,
2106,2020-02-26,Russia,0.0,,2,
2107,2020-02-27,Russia,0.0,,2,
2108,2020-02-28,Russia,0.0,,2,
2109,2020-02-29,Russia,0.0,,2,
2110,2020-03-01,Russia,0.0,,2,
2111,2020-03-02,Russia,0.0,,2,
2112,2020-03-03,Russia,1.0,,3,
2113,2020-03-04,Russia,0.0,,3,
2114,2020-03-05,Russia,0.0,,3,
2115,2020-03-06,Russia,1.0,,4,
2116,2020-03-07,Russia,3.0,,7,
2117,2020-03-08,Russia,0.0,,7,
2118,2020-03-09,Russia,0.0,,7,
2119,2020-03-10,Russia,0.0,,7,
2120,2020-03-11,Russia,0.0,,7,
2121,2020-03-12,Russia,13.0,,20,
2122,2020-03-13,Russia,14.0,,34,
2123,2020-03-14,Russia,0.0,,34,
2124,2020-03-15,Russia,0.0,,34,
2125,2020-03-16,Russia,29.0,,63,
2126,2020-03-17,Russia,30.0,,93,
2127,2020-03-16,Rwanda,,,5,
2128,2020-03-17,Rwanda,2.0,,7,
2129,2020-03-13,Reunion,,,3,
2130,2020-03-14,Reunion,2.0,,5,
2131,2020-03-15,Reunion,1.0,,6,
2132,2020-03-16,Reunion,3.0,,9,
2133,2020-03-17,Reunion,0.0,,9,
2134,2020-03-05,Saint Barthlemy,,,1,
2135,2020-03-06,Saint Barthlemy,0.0,,1,
2136,2020-03-07,Saint Barthlemy,0.0,,1,
2137,2020-03-08,Saint Barthlemy,0.0,,1,
2138,2020-03-09,Saint Barthlemy,0.0,,1,
2139,2020-03-10,Saint Barthlemy,0.0,,1,
2140,2020-03-11,Saint Barthlemy,0.0,,1,
2141,2020-03-12,Saint Barthlemy,0.0,,1,
2142,2020-03-13,Saint Barthlemy,0.0,,1,
2143,2020-03-14,Saint Barthlemy,0.0,,1,
2144,2020-03-15,Saint Barthlemy,0.0,,1,
2145,2020-03-16,Saint Barthlemy,2.0,,3,
2146,2020-03-17,Saint Barthlemy,0.0,,3,
2147,2020-03-16,Saint Lucia,,,1,
2148,2020-03-17,Saint Lucia,1.0,,2,
2149,2020-03-05,Saint Martin (French part),,,2,
2150,2020-03-06,Saint Martin (French part),0.0,,2,
2151,2020-03-07,Saint Martin (French part),0.0,,2,
2152,2020-03-08,Saint Martin (French part),0.0,,2,
2153,2020-03-09,Saint Martin (French part),0.0,,2,
2154,2020-03-10,Saint Martin (French part),0.0,,2,
2155,2020-03-11,Saint Martin (French part),0.0,,2,
2156,2020-03-12,Saint Martin (French part),0.0,,2,
2157,2020-03-13,Saint Martin (French part),0.0,,2,
2158,2020-03-14,Saint Martin (French part),0.0,,2,
2159,2020-03-15,Saint Martin (French part),0.0,,2,
2160,2020-03-16,Saint Martin (French part),0.0,,2,
2161,2020-03-17,Saint Martin (French part),0.0,,2,
2162,2020-03-13,Saint Vincent and the Grenadines,,,1,
2163,2020-03-14,Saint Vincent and the Grenadines,0.0,,1,
2164,2020-03-15,Saint Vincent and the Grenadines,0.0,,1,
2165,2020-03-16,Saint Vincent and the Grenadines,0.0,,1,
2166,2020-03-17,Saint Vincent and the Grenadines,0.0,,1,
2167,2020-02-29,San Marino,,,1,
2168,2020-03-01,San Marino,0.0,,1,
2169,2020-03-02,San Marino,0.0,,1,
2170,2020-03-03,San Marino,7.0,,8,
2171,2020-03-04,San Marino,0.0,,8,
2172,2020-03-05,San Marino,8.0,,16,
2173,2020-03-06,San Marino,5.0,,21,
2174,2020-03-07,San Marino,3.0,,24,
2175,2020-03-08,San Marino,3.0,,27,1.0
2176,2020-03-09,San Marino,10.0,0.0,37,1.0
2177,2020-03-10,San Marino,12.0,1.0,49,2.0
2178,2020-03-11,San Marino,14.0,0.0,63,2.0
2179,2020-03-12,San Marino,0.0,0.0,63,2.0
2180,2020-03-13,San Marino,0.0,0.0,63,2.0
2181,2020-03-14,San Marino,3.0,0.0,66,2.0
2182,2020-03-15,San Marino,26.0,3.0,92,5.0
2183,2020-03-16,San Marino,0.0,0.0,92,5.0
2184,2020-03-17,San Marino,10.0,4.0,102,9.0
2185,2020-03-03,Saudi Arabia,,,1,
2186,2020-03-04,Saudi Arabia,0.0,,1,
2187,2020-03-05,Saudi Arabia,1.0,,2,
2188,2020-03-06,Saudi Arabia,6.0,,8,
2189,2020-03-07,Saudi Arabia,0.0,,8,
2190,2020-03-08,Saudi Arabia,3.0,,11,
2191,2020-03-09,Saudi Arabia,4.0,,15,
2192,2020-03-10,Saudi Arabia,0.0,,15,
2193,2020-03-11,Saudi Arabia,5.0,,20,
2194,2020-03-12,Saudi Arabia,1.0,,21,
2195,2020-03-13,Saudi Arabia,0.0,,21,
2196,2020-03-14,Saudi Arabia,41.0,,62,
2197,2020-03-15,Saudi Arabia,41.0,,103,
2198,2020-03-16,Saudi Arabia,0.0,,103,
2199,2020-03-17,Saudi Arabia,30.0,,133,
2200,2020-03-03,Senegal,,,1,
2201,2020-03-04,Senegal,0.0,,1,
2202,2020-03-05,Senegal,3.0,,4,
2203,2020-03-06,Senegal,0.0,,4,
2204,2020-03-07,Senegal,0.0,,4,
2205,2020-03-08,Senegal,0.0,,4,
2206,2020-03-09,Senegal,0.0,,4,
2207,2020-03-10,Senegal,0.0,,4,
2208,2020-03-11,Senegal,0.0,,4,
2209,2020-03-12,Senegal,0.0,,4,
2210,2020-03-13,Senegal,6.0,,10,
2211,2020-03-14,Senegal,0.0,,10,
2212,2020-03-15,Senegal,11.0,,21,
2213,2020-03-16,Senegal,5.0,,26,
2214,2020-03-17,Senegal,1.0,,27,
2215,2020-03-06,Serbia,,,1,
2216,2020-03-07,Serbia,0.0,,1,
2217,2020-03-08,Serbia,0.0,,1,
2218,2020-03-09,Serbia,0.0,,1,
2219,2020-03-10,Serbia,0.0,,1,
2220,2020-03-11,Serbia,11.0,,12,
2221,2020-03-12,Serbia,7.0,,19,
2222,2020-03-13,Serbia,0.0,,19,
2223,2020-03-14,Serbia,12.0,,31,
2224,2020-03-15,Serbia,10.0,,41,
2225,2020-03-16,Serbia,0.0,,41,
2226,2020-03-17,Serbia,29.0,,70,
2227,2020-03-16,Seychelles,,,2,
2228,2020-03-17,Seychelles,2.0,,4,
2229,2020-01-24,Singapore,,,1,
2230,2020-01-25,Singapore,2.0,,3,
2231,2020-01-26,Singapore,1.0,,4,
2232,2020-01-27,Singapore,0.0,,4,
2233,2020-01-28,Singapore,3.0,,7,
2234,2020-01-29,Singapore,0.0,,7,
2235,2020-01-30,Singapore,3.0,,10,
2236,2020-01-31,Singapore,3.0,,13,
2237,2020-02-01,Singapore,3.0,,16,
2238,2020-02-02,Singapore,2.0,,18,
2239,2020-02-03,Singapore,0.0,,18,
2240,2020-02-04,Singapore,0.0,,18,
2241,2020-02-05,Singapore,6.0,,24,
2242,2020-02-06,Singapore,4.0,,28,
2243,2020-02-07,Singapore,2.0,,30,
2244,2020-02-08,Singapore,3.0,,33,
2245,2020-02-09,Singapore,7.0,,40,
2246,2020-02-10,Singapore,3.0,,43,
2247,2020-02-11,Singapore,2.0,,45,
2248,2020-02-12,Singapore,2.0,,47,
2249,2020-02-13,Singapore,3.0,,50,
2250,2020-02-14,Singapore,8.0,,58,
2251,2020-02-15,Singapore,9.0,,67,
2252,2020-02-16,Singapore,5.0,,72,
2253,2020-02-17,Singapore,3.0,,75,
2254,2020-02-18,Singapore,2.0,,77,
2255,2020-02-19,Singapore,4.0,,81,
2256,2020-02-20,Singapore,3.0,,84,
2257,2020-02-21,Singapore,1.0,,85,
2258,2020-02-22,Singapore,1.0,,86,
2259,2020-02-23,Singapore,3.0,,89,
2260,2020-02-24,Singapore,0.0,,89,
2261,2020-02-25,Singapore,1.0,,90,
2262,2020-02-26,Singapore,1.0,,91,
2263,2020-02-27,Singapore,2.0,,93,
2264,2020-02-28,Singapore,3.0,,96,
2265,2020-02-29,Singapore,2.0,,98,
2266,2020-03-01,Singapore,4.0,,102,
2267,2020-03-02,Singapore,4.0,,106,
2268,2020-03-03,Singapore,2.0,,108,
2269,2020-03-04,Singapore,2.0,,110,
2270,2020-03-05,Singapore,0.0,,110,
2271,2020-03-06,Singapore,7.0,,117,
2272,2020-03-07,Singapore,13.0,,130,
2273,2020-03-08,Singapore,8.0,,138,
2274,2020-03-09,Singapore,12.0,,150,
2275,2020-03-10,Singapore,10.0,,160,
2276,2020-03-11,Singapore,6.0,,166,
2277,2020-03-12,Singapore,12.0,,178,
2278,2020-03-13,Singapore,9.0,,187,
2279,2020-03-14,Singapore,13.0,,200,
2280,2020-03-15,Singapore,12.0,,212,
2281,2020-03-16,Singapore,31.0,,243,
2282,2020-03-17,Singapore,0.0,,243,
2283,2020-03-07,Slovakia,,,1,
2284,2020-03-08,Slovakia,2.0,,3,
2285,2020-03-09,Slovakia,2.0,,5,
2286,2020-03-10,Slovakia,2.0,,7,
2287,2020-03-11,Slovakia,0.0,,7,
2288,2020-03-12,Slovakia,3.0,,10,
2289,2020-03-13,Slovakia,11.0,,21,
2290,2020-03-14,Slovakia,9.0,,30,
2291,2020-03-15,Slovakia,14.0,,44,
2292,2020-03-16,Slovakia,17.0,,61,
2293,2020-03-17,Slovakia,11.0,,72,
2294,2020-03-05,Slovenia,,,1,
2295,2020-03-06,Slovenia,5.0,,6,
2296,2020-03-07,Slovenia,3.0,,9,
2297,2020-03-08,Slovenia,3.0,,12,
2298,2020-03-09,Slovenia,4.0,,16,
2299,2020-03-10,Slovenia,7.0,,23,
2300,2020-03-11,Slovenia,8.0,,31,
2301,2020-03-12,Slovenia,26.0,,57,
2302,2020-03-13,Slovenia,0.0,,57,
2303,2020-03-14,Slovenia,84.0,,141,
2304,2020-03-15,Slovenia,0.0,,141,
2305,2020-03-16,Slovenia,78.0,,219,
2306,2020-03-17,Slovenia,34.0,,253,
2307,2020-03-17,Somalia,,,1,
2308,2020-03-06,South Africa,,,1,
2309,2020-03-07,South Africa,0.0,,1,
2310,2020-03-08,South Africa,1.0,,2,
2311,2020-03-09,South Africa,1.0,,3,
2312,2020-03-10,South Africa,4.0,,7,
2313,2020-03-11,South Africa,0.0,,7,
2314,2020-03-12,South Africa,6.0,,13,
2315,2020-03-13,South Africa,4.0,,17,
2316,2020-03-14,South Africa,0.0,,17,
2317,2020-03-15,South Africa,21.0,,38,
2318,2020-03-16,South Africa,13.0,,51,
2319,2020-03-17,South Africa,11.0,,62,
2320,2020-02-01,Spain,,,1,
2321,2020-02-02,Spain,0.0,,1,
2322,2020-02-03,Spain,0.0,,1,
2323,2020-02-04,Spain,0.0,,1,
2324,2020-02-05,Spain,0.0,,1,
2325,2020-02-06,Spain,0.0,,1,
2326,2020-02-07,Spain,0.0,,1,
2327,2020-02-08,Spain,0.0,,1,
2328,2020-02-09,Spain,0.0,,1,
2329,2020-02-10,Spain,1.0,,2,
2330,2020-02-11,Spain,0.0,,2,
2331,2020-02-12,Spain,0.0,,2,
2332,2020-02-13,Spain,0.0,,2,
2333,2020-02-14,Spain,0.0,,2,
2334,2020-02-15,Spain,0.0,,2,
2335,2020-02-16,Spain,0.0,,2,
2336,2020-02-17,Spain,0.0,,2,
2337,2020-02-18,Spain,0.0,,2,
2338,2020-02-19,Spain,0.0,,2,
2339,2020-02-20,Spain,0.0,,2,
2340,2020-02-21,Spain,0.0,,2,
2341,2020-02-22,Spain,0.0,,2,
2342,2020-02-23,Spain,0.0,,2,
2343,2020-02-24,Spain,0.0,,2,
2344,2020-02-25,Spain,0.0,,2,
2345,2020-02-26,Spain,0.0,,2,
2346,2020-02-27,Spain,10.0,,12,
2347,2020-02-28,Spain,13.0,,25,
2348,2020-02-29,Spain,7.0,,32,
2349,2020-03-01,Spain,13.0,,45,
2350,2020-03-02,Spain,0.0,,45,
2351,2020-03-03,Spain,69.0,,114,
2352,2020-03-04,Spain,37.0,,151,
2353,2020-03-05,Spain,47.0,,198,1.0
2354,2020-03-06,Spain,59.0,2.0,257,3.0
2355,2020-03-07,Spain,117.0,2.0,374,5.0
2356,2020-03-08,Spain,56.0,0.0,430,5.0
2357,2020-03-09,Spain,159.0,5.0,589,10.0
2358,2020-03-10,Spain,435.0,18.0,1024,28.0
2359,2020-03-11,Spain,615.0,8.0,1639,36.0
2360,2020-03-12,Spain,501.0,12.0,2140,48.0
2361,2020-03-13,Spain,825.0,36.0,2965,84.0
2362,2020-03-14,Spain,1266.0,36.0,4231,120.0
2363,2020-03-15,Spain,1522.0,16.0,5753,136.0
2364,2020-03-16,Spain,2000.0,152.0,7753,288.0
2365,2020-03-17,Spain,1438.0,21.0,9191,309.0
2366,2020-01-28,Sri Lanka,,,1,
2367,2020-01-29,Sri Lanka,0.0,,1,
2368,2020-01-30,Sri Lanka,0.0,,1,
2369,2020-01-31,Sri Lanka,0.0,,1,
2370,2020-02-01,Sri Lanka,0.0,,1,
2371,2020-02-02,Sri Lanka,0.0,,1,
2372,2020-02-03,Sri Lanka,0.0,,1,
2373,2020-02-04,Sri Lanka,0.0,,1,
2374,2020-02-05,Sri Lanka,0.0,,1,
2375,2020-02-06,Sri Lanka,0.0,,1,
2376,2020-02-07,Sri Lanka,0.0,,1,
2377,2020-02-08,Sri Lanka,0.0,,1,
2378,2020-02-09,Sri Lanka,0.0,,1,
2379,2020-02-10,Sri Lanka,0.0,,1,
2380,2020-02-11,Sri Lanka,0.0,,1,
2381,2020-02-12,Sri Lanka,0.0,,1,
2382,2020-02-13,Sri Lanka,0.0,,1,
2383,2020-02-14,Sri Lanka,0.0,,1,
2384,2020-02-15,Sri Lanka,0.0,,1,
2385,2020-02-16,Sri Lanka,0.0,,1,
2386,2020-02-17,Sri Lanka,0.0,,1,
2387,2020-02-18,Sri Lanka,0.0,,1,
2388,2020-02-19,Sri Lanka,0.0,,1,
2389,2020-02-20,Sri Lanka,0.0,,1,
2390,2020-02-21,Sri Lanka,0.0,,1,
2391,2020-02-22,Sri Lanka,0.0,,1,
2392,2020-02-23,Sri Lanka,0.0,,1,
2393,2020-02-24,Sri Lanka,0.0,,1,
2394,2020-02-25,Sri Lanka,0.0,,1,
2395,2020-02-26,Sri Lanka,0.0,,1,
2396,2020-02-27,Sri Lanka,0.0,,1,
2397,2020-02-28,Sri Lanka,0.0,,1,
2398,2020-02-29,Sri Lanka,0.0,,1,
2399,2020-03-01,Sri Lanka,0.0,,1,
2400,2020-03-02,Sri Lanka,0.0,,1,
2401,2020-03-03,Sri Lanka,0.0,,1,
2402,2020-03-04,Sri Lanka,0.0,,1,
2403,2020-03-05,Sri Lanka,0.0,,1,
2404,2020-03-06,Sri Lanka,0.0,,1,
2405,2020-03-07,Sri Lanka,0.0,,1,
2406,2020-03-08,Sri Lanka,0.0,,1,
2407,2020-03-09,Sri Lanka,0.0,,1,
2408,2020-03-10,Sri Lanka,0.0,,1,
2409,2020-03-11,Sri Lanka,0.0,,1,
2410,2020-03-12,Sri Lanka,1.0,,2,
2411,2020-03-13,Sri Lanka,1.0,,3,
2412,2020-03-14,Sri Lanka,3.0,,6,
2413,2020-03-15,Sri Lanka,5.0,,11,
2414,2020-03-16,Sri Lanka,8.0,,19,
2415,2020-03-17,Sri Lanka,10.0,,29,
2416,2020-03-14,Sudan,,,1,
2417,2020-03-15,Sudan,0.0,,1,
2418,2020-03-16,Sudan,0.0,,1,1.0
2419,2020-03-17,Sudan,1.0,0.0,2,1.0
2420,2020-03-16,Suriname,,,1,
2421,2020-03-17,Suriname,0.0,,1,
2422,2020-02-01,Sweden,,,1,
2423,2020-02-02,Sweden,0.0,,1,
2424,2020-02-03,Sweden,0.0,,1,
2425,2020-02-04,Sweden,0.0,,1,
2426,2020-02-05,Sweden,0.0,,1,
2427,2020-02-06,Sweden,0.0,,1,
2428,2020-02-07,Sweden,0.0,,1,
2429,2020-02-08,Sweden,0.0,,1,
2430,2020-02-09,Sweden,0.0,,1,
2431,2020-02-10,Sweden,0.0,,1,
2432,2020-02-11,Sweden,0.0,,1,
2433,2020-02-12,Sweden,0.0,,1,
2434,2020-02-13,Sweden,0.0,,1,
2435,2020-02-14,Sweden,0.0,,1,
2436,2020-02-15,Sweden,0.0,,1,
2437,2020-02-16,Sweden,0.0,,1,
2438,2020-02-17,Sweden,0.0,,1,
2439,2020-02-18,Sweden,0.0,,1,
2440,2020-02-19,Sweden,0.0,,1,
2441,2020-02-20,Sweden,0.0,,1,
2442,2020-02-21,Sweden,0.0,,1,
2443,2020-02-22,Sweden,0.0,,1,
2444,2020-02-23,Sweden,0.0,,1,
2445,2020-02-24,Sweden,0.0,,1,
2446,2020-02-25,Sweden,0.0,,1,
2447,2020-02-26,Sweden,0.0,,1,
2448,2020-02-27,Sweden,1.0,,2,
2449,2020-02-28,Sweden,5.0,,7,
2450,2020-02-29,Sweden,5.0,,12,
2451,2020-03-01,Sweden,1.0,,13,
2452,2020-03-02,Sweden,1.0,,14,
2453,2020-03-03,Sweden,1.0,,15,
2454,2020-03-04,Sweden,9.0,,24,
2455,2020-03-05,Sweden,11.0,,35,
2456,2020-03-06,Sweden,26.0,,61,
2457,2020-03-07,Sweden,76.0,,137,
2458,2020-03-08,Sweden,24.0,,161,
2459,2020-03-09,Sweden,42.0,,203,
2460,2020-03-10,Sweden,45.0,,248,
2461,2020-03-11,Sweden,78.0,,326,
2462,2020-03-12,Sweden,135.0,,461,
2463,2020-03-13,Sweden,159.0,,620,
2464,2020-03-14,Sweden,155.0,,775,
2465,2020-03-15,Sweden,149.0,,924,
2466,2020-03-16,Sweden,68.0,,992,3.0
2467,2020-03-17,Sweden,67.0,0.0,1059,3.0
2468,2020-02-26,Switzerland,,,1,
2469,2020-02-27,Switzerland,0.0,,1,
2470,2020-02-28,Switzerland,5.0,,6,
2471,2020-02-29,Switzerland,4.0,,10,
2472,2020-03-01,Switzerland,8.0,,18,
2473,2020-03-02,Switzerland,6.0,,24,
2474,2020-03-03,Switzerland,6.0,,30,
2475,2020-03-04,Switzerland,7.0,,37,
2476,2020-03-05,Switzerland,19.0,,56,
2477,2020-03-06,Switzerland,30.0,,86,1.0
2478,2020-03-07,Switzerland,123.0,0.0,209,1.0
2479,2020-03-08,Switzerland,55.0,1.0,264,2.0
2480,2020-03-09,Switzerland,68.0,0.0,332,2.0
2481,2020-03-10,Switzerland,0.0,0.0,332,2.0
2482,2020-03-11,Switzerland,159.0,1.0,491,3.0
2483,2020-03-12,Switzerland,154.0,1.0,645,4.0
2484,2020-03-13,Switzerland,213.0,2.0,858,6.0
2485,2020-03-14,Switzerland,267.0,0.0,1125,6.0
2486,2020-03-15,Switzerland,234.0,5.0,1359,11.0
2487,2020-03-16,Switzerland,841.0,2.0,2200,13.0
2488,2020-03-17,Switzerland,0.0,1.0,2200,14.0
2489,2020-01-21,Thailand,,,2,
2490,2020-01-22,Thailand,0.0,,2,
2491,2020-01-23,Thailand,2.0,,4,
2492,2020-01-24,Thailand,0.0,,4,
2493,2020-01-25,Thailand,0.0,,4,
2494,2020-01-26,Thailand,1.0,,5,
2495,2020-01-27,Thailand,0.0,,5,
2496,2020-01-28,Thailand,9.0,,14,
2497,2020-01-29,Thailand,0.0,,14,
2498,2020-01-30,Thailand,0.0,,14,
2499,2020-01-31,Thailand,0.0,,14,
2500,2020-02-01,Thailand,5.0,,19,
2501,2020-02-02,Thailand,0.0,,19,
2502,2020-02-03,Thailand,0.0,,19,
2503,2020-02-04,Thailand,0.0,,19,
2504,2020-02-05,Thailand,6.0,,25,
2505,2020-02-06,Thailand,0.0,,25,
2506,2020-02-07,Thailand,0.0,,25,
2507,2020-02-08,Thailand,7.0,,32,
2508,2020-02-09,Thailand,0.0,,32,
2509,2020-02-10,Thailand,0.0,,32,
2510,2020-02-11,Thailand,1.0,,33,
2511,2020-02-12,Thailand,0.0,,33,
2512,2020-02-13,Thailand,0.0,,33,
2513,2020-02-14,Thailand,0.0,,33,
2514,2020-02-15,Thailand,1.0,,34,
2515,2020-02-16,Thailand,0.0,,34,
2516,2020-02-17,Thailand,1.0,,35,
2517,2020-02-18,Thailand,0.0,,35,
2518,2020-02-19,Thailand,0.0,,35,
2519,2020-02-20,Thailand,0.0,,35,
2520,2020-02-21,Thailand,0.0,,35,
2521,2020-02-22,Thailand,0.0,,35,
2522,2020-02-23,Thailand,0.0,,35,
2523,2020-02-24,Thailand,0.0,,35,
2524,2020-02-25,Thailand,2.0,,37,
2525,2020-02-26,Thailand,3.0,,40,
2526,2020-02-27,Thailand,0.0,,40,
2527,2020-02-28,Thailand,0.0,,40,
2528,2020-02-29,Thailand,2.0,,42,
2529,2020-03-01,Thailand,0.0,,42,
2530,2020-03-02,Thailand,0.0,,42,1.0
2531,2020-03-03,Thailand,1.0,0.0,43,1.0
2532,2020-03-04,Thailand,0.0,0.0,43,1.0
2533,2020-03-05,Thailand,4.0,0.0,47,1.0
2534,2020-03-06,Thailand,0.0,0.0,47,1.0
2535,2020-03-07,Thailand,1.0,0.0,48,1.0
2536,2020-03-08,Thailand,2.0,0.0,50,1.0
2537,2020-03-09,Thailand,0.0,0.0,50,1.0
2538,2020-03-10,Thailand,3.0,0.0,53,1.0
2539,2020-03-11,Thailand,6.0,0.0,59,1.0
2540,2020-03-12,Thailand,11.0,0.0,70,1.0
2541,2020-03-13,Thailand,5.0,0.0,75,1.0
2542,2020-03-14,Thailand,0.0,0.0,75,1.0
2543,2020-03-15,Thailand,0.0,0.0,75,1.0
2544,2020-03-16,Thailand,39.0,0.0,114,1.0
2545,2020-03-17,Thailand,33.0,0.0,147,1.0
2546,2020-02-01,United Kingdom,,,2,
2547,2020-02-02,United Kingdom,0.0,,2,
2548,2020-02-03,United Kingdom,0.0,,2,
2549,2020-02-04,United Kingdom,0.0,,2,
2550,2020-02-05,United Kingdom,0.0,,2,
2551,2020-02-06,United Kingdom,0.0,,2,
2552,2020-02-07,United Kingdom,1.0,,3,
2553,2020-02-08,United Kingdom,0.0,,3,
2554,2020-02-09,United Kingdom,0.0,,3,
2555,2020-02-10,United Kingdom,1.0,,4,
2556,2020-02-11,United Kingdom,4.0,,8,
2557,2020-02-12,United Kingdom,0.0,,8,
2558,2020-02-13,United Kingdom,1.0,,9,
2559,2020-02-14,United Kingdom,0.0,,9,
2560,2020-02-15,United Kingdom,0.0,,9,
2561,2020-02-16,United Kingdom,0.0,,9,
2562,2020-02-17,United Kingdom,0.0,,9,
2563,2020-02-18,United Kingdom,0.0,,9,
2564,2020-02-19,United Kingdom,0.0,,9,
2565,2020-02-20,United Kingdom,0.0,,9,
2566,2020-02-21,United Kingdom,0.0,,9,
2567,2020-02-22,United Kingdom,0.0,,9,
2568,2020-02-23,United Kingdom,0.0,,9,
2569,2020-02-24,United Kingdom,0.0,,9,
2570,2020-02-25,United Kingdom,4.0,,13,
2571,2020-02-26,United Kingdom,0.0,,13,
2572,2020-02-27,United Kingdom,0.0,,13,
2573,2020-02-28,United Kingdom,3.0,,16,
2574,2020-02-29,United Kingdom,4.0,,20,
2575,2020-03-01,United Kingdom,3.0,,23,
2576,2020-03-02,United Kingdom,13.0,,36,
2577,2020-03-03,United Kingdom,3.0,,39,
2578,2020-03-04,United Kingdom,12.0,,51,
2579,2020-03-05,United Kingdom,38.0,,89,
2580,2020-03-06,United Kingdom,29.0,,118,
2581,2020-03-07,United Kingdom,49.0,,167,1.0
2582,2020-03-08,United Kingdom,43.0,1.0,210,2.0
2583,2020-03-09,United Kingdom,67.0,0.0,277,2.0
2584,2020-03-10,United Kingdom,46.0,1.0,323,3.0
2585,2020-03-11,United Kingdom,50.0,3.0,373,6.0
2586,2020-03-12,United Kingdom,87.0,0.0,460,6.0
2587,2020-03-13,United Kingdom,134.0,2.0,594,8.0
2588,2020-03-14,United Kingdom,208.0,2.0,802,10.0
2589,2020-03-15,United Kingdom,342.0,11.0,1144,21.0
2590,2020-03-16,United Kingdom,251.0,14.0,1395,35.0
2591,2020-03-17,United Kingdom,152.0,20.0,1547,55.0
2592,2020-03-07,Togo,,,1,
2593,2020-03-08,Togo,0.0,,1,
2594,2020-03-09,Togo,0.0,,1,
2595,2020-03-10,Togo,0.0,,1,
2596,2020-03-11,Togo,0.0,,1,
2597,2020-03-12,Togo,0.0,,1,
2598,2020-03-13,Togo,0.0,,1,
2599,2020-03-14,Togo,0.0,,1,
2600,2020-03-15,Togo,0.0,,1,
2601,2020-03-16,Togo,0.0,,1,
2602,2020-03-17,Togo,0.0,,1,
2603,2020-03-14,Trinidad and Tobago,,,1,
2604,2020-03-15,Trinidad and Tobago,0.0,,1,
2605,2020-03-16,Trinidad and Tobago,1.0,,2,
2606,2020-03-17,Trinidad and Tobago,3.0,,5,
2607,2020-03-03,Tunisia,,,1,
2608,2020-03-04,Tunisia,0.0,,1,
2609,2020-03-05,Tunisia,0.0,,1,
2610,2020-03-06,Tunisia,0.0,,1,
2611,2020-03-07,Tunisia,0.0,,1,
2612,2020-03-08,Tunisia,0.0,,1,
2613,2020-03-09,Tunisia,1.0,,2,
2614,2020-03-10,Tunisia,0.0,,2,
2615,2020-03-11,Tunisia,4.0,,6,
2616,2020-03-12,Tunisia,0.0,,6,
2617,2020-03-13,Tunisia,1.0,,7,
2618,2020-03-14,Tunisia,9.0,,16,
2619,2020-03-15,Tunisia,0.0,,16,
2620,2020-03-16,Tunisia,2.0,,18,
2621,2020-03-17,Tunisia,2.0,,20,
2622,2020-03-12,Turkey,,,1,
2623,2020-03-13,Turkey,0.0,,1,
2624,2020-03-14,Turkey,4.0,,5,
2625,2020-03-15,Turkey,0.0,,5,
2626,2020-03-16,Turkey,0.0,,5,
2627,2020-03-17,Turkey,42.0,,47,
2628,2020-03-04,Ukraine,,,1,
2629,2020-03-05,Ukraine,0.0,,1,
2630,2020-03-06,Ukraine,0.0,,1,
2631,2020-03-07,Ukraine,0.0,,1,
2632,2020-03-08,Ukraine,0.0,,1,
2633,2020-03-09,Ukraine,0.0,,1,
2634,2020-03-10,Ukraine,0.0,,1,
2635,2020-03-11,Ukraine,0.0,,1,
2636,2020-03-12,Ukraine,0.0,,1,
2637,2020-03-13,Ukraine,2.0,,3,
2638,2020-03-14,Ukraine,0.0,,3,1.0
2639,2020-03-15,Ukraine,0.0,0.0,3,1.0
2640,2020-03-16,Ukraine,0.0,0.0,3,1.0
2641,2020-03-17,Ukraine,4.0,0.0,7,1.0
2642,2020-01-29,United Arab Emirates,,,4,
2643,2020-01-30,United Arab Emirates,0.0,,4,
2644,2020-01-31,United Arab Emirates,0.0,,4,
2645,2020-02-01,United Arab Emirates,0.0,,4,
2646,2020-02-02,United Arab Emirates,1.0,,5,
2647,2020-02-03,United Arab Emirates,0.0,,5,
2648,2020-02-04,United Arab Emirates,0.0,,5,
2649,2020-02-05,United Arab Emirates,0.0,,5,
2650,2020-02-06,United Arab Emirates,0.0,,5,
2651,2020-02-07,United Arab Emirates,0.0,,5,
2652,2020-02-08,United Arab Emirates,2.0,,7,
2653,2020-02-09,United Arab Emirates,0.0,,7,
2654,2020-02-10,United Arab Emirates,0.0,,7,
2655,2020-02-11,United Arab Emirates,1.0,,8,
2656,2020-02-12,United Arab Emirates,0.0,,8,
2657,2020-02-13,United Arab Emirates,0.0,,8,
2658,2020-02-14,United Arab Emirates,0.0,,8,
2659,2020-02-15,United Arab Emirates,0.0,,8,
2660,2020-02-16,United Arab Emirates,0.0,,8,
2661,2020-02-17,United Arab Emirates,1.0,,9,
2662,2020-02-18,United Arab Emirates,0.0,,9,
2663,2020-02-19,United Arab Emirates,0.0,,9,
2664,2020-02-20,United Arab Emirates,0.0,,9,
2665,2020-02-21,United Arab Emirates,0.0,,9,
2666,2020-02-22,United Arab Emirates,2.0,,11,
2667,2020-02-23,United Arab Emirates,2.0,,13,
2668,2020-02-24,United Arab Emirates,0.0,,13,
