Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,28638.9707,28872.80078,28627.76953,28868.80078,28868.80078,251820000
2020-01-03,28553.33008,28716.31055,28500.35938,28634.88086,28634.88086,239590000
2020-01-06,28465.5,28708.01953,28418.63086,28703.38086,28703.38086,252760000
2020-01-07,28639.17969,28685.5,28565.2793,28583.67969,28583.67969,258900000
2020-01-08,28556.14063,28866.17969,28522.50977,28745.08984,28745.08984,291750000
2020-01-09,28851.9707,28988.00977,28844.31055,28956.90039,28956.90039,275060000
2020-01-10,28977.51953,29009.07031,28789.09961,28823.76953,28823.76953,237830000
2020-01-13,28869.00977,28909.91016,28819.42969,28907.05078,28907.05078,249830000
2020-01-14,28895.5,29054.16016,28872.26953,28939.66992,28939.66992,287440000
2020-01-15,28901.80078,29127.58984,28897.34961,29030.2207,29030.2207,260270000
2020-01-16,29131.94922,29300.32031,29131.94922,29297.64063,29297.64063,252110000
2020-01-17,29313.31055,29373.61914,29289.91016,29348.09961,29348.09961,321820000
2020-01-21,29269.05078,29341.21094,29146.4707,29196.03906,29196.03906,320640000
2020-01-22,29263.63086,29320.19922,29172.25977,29186.26953,29186.26953,283440000
2020-01-23,29111.01953,29190.4707,28966.98047,29160.08984,29160.08984,307060000
2020-01-24,29230.39063,29288.78906,28843.31055,28989.73047,28989.73047,380010000
2020-01-27,28542.49023,28671.78906,28440.4707,28535.80078,28535.80078,337270000
2020-01-28,28594.2793,28823.23047,28575.75,28722.84961,28722.84961,330140000
2020-01-29,28820.5293,28944.24023,28728.18945,28734.44922,28734.44922,302290000
2020-01-30,28640.16016,28879.71094,28489.75977,28859.43945,28859.43945,326850000
2020-01-31,28813.03906,28813.03906,28169.5293,28256.0293,28256.0293,403890000
2020-02-03,28319.65039,28630.39063,28319.65039,28399.81055,28399.81055,307910000
2020-02-04,28696.74023,28904.88086,28696.74023,28807.63086,28807.63086,332750000
2020-02-05,29048.73047,29308.89063,29000.84961,29290.84961,29290.84961,357540000
2020-02-06,29388.58008,29408.05078,29246.92969,29379.76953,29379.76953,263700000
2020-02-07,29286.91992,29286.91992,29056.98047,29102.50977,29102.50977,252860000
2020-02-10,28995.66016,29278.07031,28995.66016,29276.82031,29276.82031,250510000
2020-02-11,29390.71094,29415.39063,29210.4707,29276.33984,29276.33984,279540000
2020-02-12,29406.75,29568.57031,29406.75,29551.41992,29551.41992,309530000
2020-02-13,29436.0293,29535.40039,29345.92969,29423.31055,29423.31055,291150000
2020-02-14,29440.4707,29463.03906,29283.17969,29398.08008,29398.08008,231000000
2020-02-18,29282.7793,29330.16016,29116.81055,29232.18945,29232.18945,256600000
2020-02-19,29312.69922,29409.08984,29274.38086,29348.0293,29348.0293,240640000
2020-02-20,29296.25,29368.44922,28959.65039,29219.98047,29219.98047,287780000
2020-02-21,29146.5293,29146.5293,28892.69922,28992.41016,28992.41016,311210000
2020-02-24,28402.92969,28402.92969,27912.43945,27960.80078,27960.80078,452580000
2020-02-25,28037.65039,28149.19922,26997.61914,27081.35938,27081.35938,513270000
2020-02-26,27159.46094,27542.7793,26890.9707,26957.58984,26957.58984,472450000
2020-02-27,26526,26775.31055,25752.82031,25766.64063,25766.64063,664980000
2020-02-28,25270.83008,25494.24023,24681.00977,25409.35938,25409.35938,915990000
2020-03-02,25590.50977,26706.16992,25391.96094,26703.32031,26703.32031,637200000
2020-03-03,26762.4707,27084.58984,25706.2793,25917.41016,25917.41016,647080000
2020-03-04,26383.67969,27102.33984,26286.31055,27090.85938,27090.85938,457590000
2020-03-05,26671.91992,26671.91992,25943.33008,26121.2793,26121.2793,477370000
2020-03-06,25457.21094,25994.38086,25226.61914,25864.7793,25864.7793,599780000
2020-03-09,24992.35938,24992.35938,23706.07031,23851.01953,23851.01953,750430000
2020-03-10,24453,25020.99023,23690.33984,25018.16016,25018.16016,654860000
2020-03-11,24604.63086,24604.63086,23328.32031,23553.2207,23553.2207,663960000
2020-03-12,22184.71094,22837.94922,21154.46094,21200.61914,21200.61914,908260000
2020-03-13,21973.82031,23189.75977,21285.36914,23185.61914,23185.61914,843080000
2020-03-16,20917.5293,21768.2793,20116.46094,20188.51953,20188.51953,770130000
2020-03-17,20487.05078,21379.34961,19882.25977,21237.38086,21237.38086,793060000
2020-03-18,20188.68945,20489.33008,18917.46094,19898.91992,19898.91992,871360000
2020-03-19,19830.00977,20442.63086,19177.13086,20087.18945,20087.18945,780300000
2020-03-20,20253.15039,20531.25977,19094.26953,19173.98047,19173.98047,872290000
2020-03-23,19028.35938,19121.00977,18213.65039,18591.92969,18591.92969,787970000
2020-03-24,19722.18945,20737.69922,19649.25,20704.91016,20704.91016,799340000
2020-03-25,21050.33984,22019.92969,20538.33984,21200.55078,21200.55078,796320000
