Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,17131.59961,17164.59961,17043.5,17100,17100,156213500
2020-01-03,17054.80078,17105.69922,17033.19922,17066.09961,17066.09961,185492100
2020-01-06,17042.30078,17105.5,17041.19922,17105.5,17105.5,195351800
2020-01-07,17119.59961,17178,17110.30078,17168.09961,17168.09961,171935800
2020-01-08,17172.69922,17229.90039,17164.59961,17167.80078,17167.80078,246980100
2020-01-09,17205.90039,17255.5,17201.30078,17235.59961,17235.59961,222501200
2020-01-10,17223.19922,17254.09961,17187.19922,17234.5,17234.5,192514100
2020-01-13,17237.59961,17301.80078,17198.90039,17293.40039,17293.40039,268086800
2020-01-14,17288.59961,17356.5,17281.30078,17352.90039,17352.90039,235495600
2020-01-15,17364.80078,17421.69922,17345.09961,17415.19922,17415.19922,207645200
2020-01-16,17443.5,17489.59961,17438.5,17484.80078,17484.80078,261420600
2020-01-17,17507.69922,17572.19922,17502.40039,17559,17559,224673300
2020-01-20,17548.09961,17620.19922,17538.40039,17597.40039,17597.40039,111821100
2020-01-21,17551.5,17589.5,17536.30078,17572.30078,17572.30078,241563100
2020-01-22,17570.30078,17666.5,17558,17599.90039,17599.90039,213329700
2020-01-23,17564.80078,17621.80078,17540.80078,17621.80078,17621.80078,330914300
2020-01-24,17629.40039,17646.40039,17514.69922,17565.30078,17565.30078,193689100
2020-01-27,17376.80078,17466.09961,17360,17442.5,17442.5,203774000
2020-01-28,17475,17519,17456.09961,17500.90039,17500.90039,198139800
2020-01-29,17547.5,17561.90039,17496.69922,17511.80078,17511.80078,169412800
2020-01-30,17429.59961,17502.90039,17395.90039,17490.59961,17490.59961,191070300
2020-01-31,17442.30078,17450.69922,17272.69922,17318.5,17318.5,239157000
2020-02-03,17351,17441.59961,17351,17379.80078,17379.80078,196331500
2020-02-04,17504.59961,17548.80078,17493.80078,17512.69922,17512.69922,235045300
2020-02-05,17629.40039,17674,17606.09961,17651.59961,17651.59961,223399700
2020-02-06,17686.09961,17758.5,17670.59961,17757.5,17757.5,199327500
2020-02-07,17705.40039,17716.69922,17633,17655.5,17655.5,209827800
2020-02-10,17646.59961,17743.59961,17646.59961,17740.59961,17740.59961,210735600
2020-02-11,17783.59961,17822.19922,17769.30078,17777.09961,17777.09961,199302100
2020-02-12,17873.09961,17873.09961,17812,17832.90039,17832.90039,246203500
2020-02-13,17764.09961,17829.19922,17750.80078,17821.19922,17821.19922,255696600
2020-02-14,17811.30078,17848.5,17798.59961,17848.40039,17848.40039,222706800
2020-02-18,17818.90039,17871.30078,17812.5,17858.30078,17858.30078,294361000
2020-02-19,17887.59961,17933.19922,17851.30078,17925.40039,17925.40039,215953000
2020-02-20,17911.59961,17970.5,17860.59961,17944.09961,17944.09961,248798000
2020-02-21,17936.5,17949.80078,17833.09961,17843.5,17843.5,271260900
2020-02-24,17608.90039,17608.90039,17463.09961,17562.69922,17562.69922,310120500
2020-02-25,17560.5,17586.80078,17124.90039,17177.40039,17177.40039,303245600
2020-02-26,17140.90039,17304.59961,17029.90039,17041.90039,17041.90039,303632000
2020-02-27,16803.40039,16816.19922,16456.80078,16717.40039,16717.40039,232685900
2020-02-28,16184.40039,16276.90039,15896.40039,16263.09961,16263.09961,590219300
2020-03-02,16325,16566.69922,16166.29981,16553.30078,16553.30078,374721500
2020-03-03,16674.90039,16798.19922,16378.29981,16423.59961,16423.59961,393127900
2020-03-04,16659.90039,16779.5,16539.40039,16779.5,16779.5,273718600
2020-03-05,16541.59961,16684.90039,16456.69922,16554,16554,313012300
2020-03-06,16222.09961,16261.5,16015.79981,16175,16175,374703800
2020-03-09,15221.79981,15240.29981,14498.29981,14514.2002,14514.2002,559227400
2020-03-10,15019,15048.79981,14481.90039,14958.09961,14958.09961,571001300
2020-03-11,14639.7002,14714.2002,14185.2002,14270.09961,14270.09961,468990900
2020-03-12,13611.79981,13611.79981,12451.09961,12508.5,12508.5,678332900
2020-03-13,13161.59961,13716.29981,12608.29981,13716.29981,13716.29981,669328700
2020-03-16,12648.7002,12851.7002,11883.7002,12360.40039,12360.40039,525668300
2020-03-17,12525.29981,13114.5,12322.7002,12685.2002,12685.2002,618745200
2020-03-18,12197.7002,12500,11384.09961,11721.40039,11721.40039,589437000
2020-03-19,11657.29981,12294.40039,11361.29981,12170.5,12170.5,531586300
2020-03-20,12335.7002,12670.79981,11809.40039,11851.79981,11851.79981,727890300
2020-03-23,11802.79981,11870.59961,11172.7002,11228.5,11228.5,473241500
2020-03-24,11909.7002,12588.29981,11823.90039,12571.09961,12571.09961,489332500
2020-03-25,12588.09961,13690.40039,12496.29981,13139.2002,13139.2002,553126800
