,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,oussouye,45,SN,1572918080,80,12.49,-16.54,77.86,4.76
385,muros,75,ES,1572918080,93,42.77,-9.06,57.99,5.82
386,unai,92,BR,1572917995,68,-16.36,-46.91,74.91,5.41
387,lakhdenpokhya,97,RU,1572918080,76,61.52,30.2,32.0,7.29
388,horsham,100,AU,1572918047,35,-36.71,142.2,65.05,9.64
389,yaqui,40,MX,1572918081,37,27.37,-110.17,84.2,6.93
390,kandalaksha,0,RU,1572918081,84,67.15,32.41,12.0,7.56
391,villa union,100,IT,1572918081,93,46.06,11.52,57.99,5.82
392,nouadhibou,0,MR,1572918081,73,20.93,-17.03,69.8,23.04
393,bonavista,0,CA,1572918082,86,48.65,-53.11,41.0,11.01
394,porto santo,40,PT,1572918010,82,41.15,-8.61,59.0,5.82
395,giyani,100,ZA,1572918082,77,-23.32,30.73,68.56,9.6
396,ust-nera,49,RU,1572918082,93,64.57,143.24,1.18,3.33
397,paragominas,98,BR,1572918082,91,-3.0,-47.35,73.81,3.67
398,shelburne,75,CA,1572918009,66,44.08,-80.2,50.0,9.17
399,futtsu,20,JP,1572918083,54,35.23,139.9,66.0,4.7
400,longhua,100,CN,1572918083,78,29.21,106.21,61.18,4.03
401,kilkenny,94,IE,1572918083,89,52.65,-7.25,50.0,8.99
402,ada,1,US,1572918019,82,34.77,-96.68,62.6,6.93
403,prainha,19,BR,1572918083,73,-1.8,-53.48,80.19,4.45
404,kibala,0,TD,1572918084,94,9.11,18.35,73.4,2.06
405,rovaniemi,90,FI,1572918084,92,66.5,25.72,17.6,6.93
406,kutum,0,SD,1572918084,29,14.2,24.66,65.93,4.81
407,kosmynino,90,RU,1572918084,100,57.55,40.74,46.4,6.71
408,canakkale,0,TR,1572918084,37,40.15,26.41,70.0,16.44
409,mpanda,93,BI,1572918084,79,-3.17,29.4,58.01,2.95
410,jacqueville,75,CI,1572918085,94,5.21,-4.42,80.6,2.24
411,san quintin,0,ML,1572918085,34,13.3,-4.9,80.29,1.45
412,rocha,97,UY,1572918085,96,-34.48,-54.34,61.03,8.48
413,elizabeth city,1,US,1572918008,53,40.66,-74.21,55.99,17.16
414,aneho,20,TG,1572918086,88,6.23,1.6,80.6,8.05
415,haines junction,1,US,1572918086,49,44.91,-117.94,46.4,3.36
416,iqaluit,40,CA,1572918086,78,63.75,-68.52,15.8,12.75
417,east grinstead,64,UG,1572918087,92,3.43,31.7,66.69,0.74
418,skiathos,20,GR,1572918087,93,39.16,23.49,60.01,3.36
419,sorland,100,NO,1572918087,68,67.67,12.69,38.82,19.04
420,yar-sale,100,RU,1572918087,93,66.83,70.83,19.4,16.8
421,togur,8,RU,1572918087,79,58.36,82.83,18.64,3.76
422,orangeburg,1,US,1572917925,87,33.49,-80.86,60.01,5.93
423,churapcha,100,RU,1572918088,90,62.0,132.43,9.25,9.19
424,shingu,20,JP,1572918088,42,33.72,135.99,62.6,6.93
425,kuzino,100,RU,1572918089,75,57.02,59.44,28.99,14.61
426,banda aceh,0,IN,1572918089,47,28.24,80.11,72.07,8.03
427,alugan,84,PH,1572918089,68,12.22,125.48,88.84,2.44
428,vanderhoof,100,CA,1572918089,89,54.02,-124.02,42.04,5.95
429,ust-kan,100,RU,1572918089,85,50.93,84.77,34.47,3.71
430,rio grande,1,US,1572918005,80,41.11,-90.4,44.6,3.36
431,oranjemund,100,ZA,1572918090,76,-28.55,16.43,60.94,9.06
432,bela,0,PK,1572918090,63,26.23,66.31,79.84,3.24
433,balagansk,100,RU,1572918090,57,54.01,103.05,25.16,3.11
434,kayes,43,ML,1572918091,24,14.44,-11.44,82.8,4.61
435,flin flon,0,FR,1572918091,100,48.5,6.66,48.2,9.17
436,ambon,33,FR,1572917942,100,47.55,-2.56,52.0,3.36
437,dongsheng,0,CN,1572918092,47,29.72,112.52,68.59,7.2
438,ormara,18,PK,1572918092,66,25.21,64.64,81.39,1.95
439,buala,21,SB,1572918092,78,-8.15,159.59,82.92,10.92
440,cap-aux-meules,20,CA,1572918092,60,47.38,-61.86,41.0,11.41
441,constitucion,75,MX,1572918092,46,23.99,-104.67,69.8,2.24
442,smithers,75,CA,1572917985,87,54.78,-127.17,46.4,2.24
443,nakamura,20,JP,1572918092,44,35.17,136.87,69.01,12.75
444,loreto,20,PY,1572918093,36,-23.27,-57.32,84.79,5.14
445,takoradi,0,GH,1572918093,85,4.89,-1.75,79.57,5.68
446,minab,0,IR,1572918093,83,27.15,57.07,71.6,2.24
447,baihar,0,IN,1572918093,65,22.11,80.55,74.66,2.77
448,svetlogorsk,40,RU,1572918094,50,53.14,59.15,28.4,24.61
449,ahipara,8,NZ,1572918095,71,-35.17,173.16,63.88,6.4
450,lufkin,75,US,1572918095,88,31.34,-94.73,66.0,4.63
451,aiquile,67,BO,1572918095,66,-18.2,-65.18,65.75,2.89
452,lahij,4,YE,1572918095,73,13.06,44.88,78.94,8.08
453,verkhoyansk,100,RU,1572918095,90,67.55,133.39,-1.13,2.73
454,almeirim,4,BR,1572918096,76,-1.53,-52.58,79.79,6.06
455,lorengau,100,PG,1572918096,74,-2.02,147.27,81.34,17.02
456,patan,75,NP,1572918097,100,27.67,85.33,57.2,2.24
457,zambezi,65,ZM,1572918097,46,-13.55,23.12,70.81,3.33
458,gloversville,1,US,1572918097,60,43.05,-74.34,50.0,5.82
459,beloha,27,MG,1572918097,81,-25.17,45.06,71.58,8.43
460,geraldton,90,CA,1572918098,92,49.72,-86.95,28.4,12.75
461,makasar,0,ID,1572918098,66,-6.28,106.88,87.01,3.36
462,boende,93,CD,1572918098,96,-0.28,20.88,69.8,1.5
463,winsum,90,NL,1572918098,100,53.33,6.52,48.99,2.24
464,dudinka,75,RU,1572918099,77,69.41,86.18,1.4,17.9
465,santa maria,98,PH,1572918099,88,17.49,120.43,78.15,6.64
466,nizhniy kislyay,94,RU,1572918099,34,45.39,39.24,48.0,4.47
467,mount isa,75,GB,1572918099,93,53.66,-1.85,48.99,9.17
468,aksarka,85,RU,1572918099,95,66.56,67.8,20.03,13.02
469,oga,75,IT,1572918100,99,46.46,10.35,48.99,2.24
470,sola,100,TZ,1572918100,61,-3.17,33.8,68.45,4.59
471,mudu,0,CN,1572918100,49,31.26,120.51,73.99,1.01
472,oranjestad,20,AW,1572918100,79,12.52,-70.03,84.2,16.11
473,saint-augustin,75,CA,1572918101,76,45.63,-73.98,48.0,5.82
474,parasia,0,IN,1572918101,71,22.19,78.76,73.2,5.37
475,kununurra,44,AU,1572918101,62,-15.77,128.74,84.2,2.24
476,sheridan,1,US,1572918101,83,39.65,-105.03,41.0,2.06
477,atocha,75,AR,1572918102,35,-24.82,-65.48,73.4,6.93
478,adrar,0,DZ,1572918102,33,27.87,-0.29,71.6,8.05
479,tancitaro,90,MX,1572918103,93,19.33,-102.37,62.6,5.32
480,verkhnevilyuysk,69,RU,1572918103,84,63.45,120.31,-1.31,5.41
481,kurkino,100,RU,1572918103,79,53.42,38.66,47.82,18.95
482,gorin,90,BF,1572918103,22,12.34,-0.67,80.85,5.17
483,ugoofaaru,100,MV,1572918104,76,5.67,73.0,81.63,9.1
484,brandon,1,US,1572918104,86,43.59,-96.57,34.0,4.7
485,turayf,0,SA,1572918104,71,31.68,38.65,57.2,13.87
486,yomou,100,GN,1572918104,98,7.57,-9.26,70.32,1.14
487,senno,100,RU,1572918104,93,57.76,27.95,37.4,8.95
488,burnie,77,AU,1572918105,53,-41.05,145.91,60.01,3.0
489,vanavara,0,RU,1572918105,80,60.35,102.28,3.04,2.75
490,havoysund,75,NO,1572918105,72,71.0,24.66,32.0,38.03
491,cadiz,90,US,1572918105,34,40.27,-81.0,55.4,6.93
492,baft,54,IR,1572918105,66,29.23,56.61,48.33,9.26
493,jaicos,15,BR,1572918106,49,-7.36,-41.14,79.63,1.95
494,fallon,75,US,1572917840,79,46.84,-105.12,27.0,5.82
495,bonthe,30,SL,1572918106,85,7.53,-12.5,77.88,1.97
496,tamandare,98,BR,1572918106,96,-8.28,-70.75,72.72,2.42
497,edremit,58,TR,1572918106,28,38.43,43.26,32.0,3.36
498,youkounkoun,62,GN,1572918107,55,12.53,-13.12,76.78,2.33
499,birobidzhan,100,RU,1572918107,85,48.79,132.93,28.08,2.55
500,per,14,PL,1572918107,100,51.1,23.12,48.2,12.75
501,mount gambier,75,GB,1572918107,93,53.66,-1.85,48.99,9.17
502,manavalakurichi,40,IN,1572918107,94,8.13,77.3,77.0,4.7
503,baijiantan,100,CN,1572918107,49,45.63,85.18,54.19,5.91
504,niquero,100,CU,1572918108,91,20.04,-77.58,73.78,10.4
505,ofunato,20,JP,1572918108,58,39.11,141.75,53.6,10.29
506,koilas,0,GR,1572918108,75,37.41,23.11,62.29,4.92
507,pangody,100,RU,1572918108,93,65.85,74.49,17.69,23.55
508,bosaso,100,SO,1572918108,76,11.28,49.18,83.12,12.77
509,koumac,57,NC,1572918109,49,-20.56,164.28,81.19,4.88
510,sisimiut,100,GL,1572918109,64,66.94,-53.67,22.42,4.81
511,bima,0,ID,1572918109,37,-8.45,118.73,93.11,6.15
512,korcula,75,HR,1572918109,93,42.96,17.14,53.6,2.24
513,pulaski,1,US,1572918103,75,37.05,-80.78,46.4,1.54
514,sinnamary,0,GF,1572918109,80,5.38,-52.96,81.95,18.34
515,kunashak,75,RU,1572918110,64,55.7,61.55,33.8,11.18
516,jalu,0,LY,1572918110,49,29.03,21.55,64.62,3.74
517,brae,100,GB,1572917948,75,60.4,-1.35,44.6,14.99
518,salym,100,RU,1572918110,93,60.06,71.48,23.36,15.86
519,jiancheng,75,CN,1572918110,93,30.39,104.55,57.2,4.47
520,upington,26,ZA,1572918110,14,-28.46,21.24,77.0,8.05
521,naze,20,NG,1572918110,94,5.43,7.07,77.0,2.75
522,festus,90,US,1572918111,71,38.22,-90.4,51.01,4.7
523,erenhot,100,CN,1572918112,67,43.65,111.97,40.21,8.68
524,ayolas,76,PY,1572918112,95,-27.39,-56.84,71.51,9.51
525,onega,0,RU,1572918112,75,63.91,38.09,29.57,9.31
526,burla,90,RU,1572918112,94,53.34,78.33,26.69,4.34
527,catu,20,BR,1572918113,78,-12.35,-38.38,80.6,14.99
528,jaisalmer,0,IN,1572918113,26,26.91,70.91,81.45,4.05
529,meulaboh,28,ID,1572918113,77,4.14,96.13,80.47,7.56
530,vernon,20,CA,1572918113,86,50.27,-119.27,44.01,5.82
531,muisne,84,EC,1572918113,86,0.61,-80.02,75.15,7.27
532,maple creek,75,US,1572917844,67,46.59,-91.72,33.01,17.22
533,kutina,59,HR,1572918114,100,45.48,16.78,44.6,5.82
534,kungurtug,63,RU,1572918114,62,50.6,97.53,30.27,1.05
535,nagorsk,100,RU,1572918114,98,59.32,50.8,37.06,8.08
536,evensk,100,RU,1572918114,83,61.92,159.24,28.04,14.05
537,poquoson,75,US,1572918114,87,37.12,-76.35,59.0,7.81
538,villa carlos paz,100,IT,1572918114,93,46.06,11.52,57.99,5.82
539,zhangye,94,CN,1572918115,35,38.94,100.46,47.89,7.34
540,langsa,90,ID,1572918115,62,4.47,97.97,87.03,2.91
541,altamont,90,CA,1572918115,57,49.4,-98.5,21.2,10.29
542,mersing,100,MY,1572918116,67,2.43,103.84,83.43,4.85
543,morant bay,20,JM,1572918116,65,17.9,-76.43,82.4,4.7
544,peranamallur,15,IN,1572918116,71,12.57,79.43,79.16,4.61
545,nanga eboko,55,IN,1572918117,55,27.54,88.62,57.13,2.55
546,broome,100,GB,1572917894,100,52.47,1.45,46.99,1.12
